cod_categoria;descrizione_categoria
OS11;OS11 - APPARECCHIATURE STRUTTURALI SPECIALI
OS12;OS12 - BARRIERE E PROTEZIONI STRADALI
OS13;OS13 - STRUTTURE PREFABBRICATE IN CEMENTO ARMATO
OS14;OS14 - IMPIANTI DI SMALTIMENTO E RECUPERO RIFIUTI
OS15;OS15 - PULIZIA DI ACQUE MARINE, LACUSTRI, FLUVIALI
OS16;OS16 - IMPIANTI PER CENTRALI PRODUZIONE ENERGIA ELETTRICA
OS17;OS17 - LINEE TELEFONICHE ED IMPIANTI DI TELEFONIA
OS18;OS18 - COMPONENTI STRUTTURALI IN ACCIAIO O METALLO
OS19;OS19 - IMPIANTI DI RETI DI TELECOMUNICAZIONE E DI TRASMISSIONE DATI
OS2;OS2 - SUPERFICI DECORATE E BENI MOBILI DI INTERESSE STORICO E ARTISTICO
OS20;OS20 - RILEVAMENTI TOPOGRAFICI
OS21;OS21 - OPERE STRUTTURALI SPECIALI
OS22;OS22 - IMPIANTI DI POTABILIZZAZIONE E DEPURAZIONE
OS23;OS23 - DEMOLIZIONE DI OPERE
OS24;OS24 - VERDE E ARREDO URBANO
OS25;OS25 - SCAVI ARCHEOLOGICI
OS26;OS26 - PAVIMENTAZIONI E SOVRASTRUTTURE SPECIALI
OS27;OS27 - IMPIANTI PER LA TRAZIONE ELETTRICA
OS28;OS28 - IMPIANTI TERMICI E DI CONDIZIONAMENTO
OS29;OS29 - ARMAMENTO FERROVIARIO
OS3;OS3 - IMPIANTI IDRICO - SANITARIO, CUCINE, LAVANDERIE
OS30;OS30 - IMPIANTI INTERNI ELETTRICI, TELEFONICI, RADIOTELEFONICI E TELEVISIVI
OS31;OS31 - IMPIANTI PER LA MOBILITA' SOSPESA
OS32;OS32 - STRUTTURE IN LEGNO
OS33;OS33 - COPERTURE SPECIALI
OS34;OS34 - SISTEMI ANTIRUMORE PER INFRASTRUTTURE DI MOBILITA'
OS4;OS4 - IMPIANTI ELETTROMECCANICI TRASPORTATORI
OS5;OS5 - IMPIANTI PNEUMATICI E ANTINTRUSIONE
OS6;OS6 - FINITURE DI OPERE GENERALI IN MATERIALI LIGNEI, PLASTICI, METALLICI E VETROSI
OS7;OS7 - FINITURE DI OPERE GENERALI DI NATURA EDILE
OS8;OS8 - FINITURE DI OPERE GENERALI DI NATURA TECNICA
OS9;OS9 - IMPIANTI PER LA SEGNALETICA LUMINOSA E LA SICUREZZA DEL TRAFFICO
SS;LAVORI, FORNITURE E SERVIZI IN SETTORI SPECIALI
