cig,label,score_raw_final,score_calib_final
9979482112,,0.008418465928967866,0.3868549837490174
A0052BB648,,0.008418465928967866,0.3868549837490174
9932002355,1.0,0.19370429636464456,0.443592596013331
A00673A040,,0.008418465928967866,0.3868549837490174
990418258A,,0.01882092405419084,0.3899751774498928
A00596DCB6,,0.008418465928967866,0.3868549837490174
A00756622B,,0.008418465928967866,0.3868549837490174
A0022663C3,,0.040796304389164345,0.39659605198370945
A008F98023,,0.008418465928967866,0.3868549837490174
9944898572,,0.008418465928967866,0.3868549837490174
A000C234CC,,0.008418465928967866,0.3868549837490174
A001B4E925,,0.010703717705481324,0.38753965404850593
A0062EC2D9,,0.008418465928967866,0.3868549837490174
A00FF11D99,,0.03689622122596153,0.39541816681965836
A0058DE6B6,,0.008418465928967866,0.3868549837490174
A0061D8F12,,0.008418465928967866,0.3868549837490174
9976475F99,0.0,0.24939084374485898,0.46100939573755156
A009C00D0A,,0.008418465928967866,0.3868549837490174
9999854C90,,0.030088089908905203,0.393364919742718
A00479C8DC,,0.01470846808573821,0.38874056337017954
A006D22FF9,,0.018812880688611346,0.38997276134203956
9942329D6E,,0.021732318477210404,0.39085007106080977
A0086CDE89,,0.008418465928967866,0.3868549837490174
A00869D6EF,,0.008418465928967866,0.3868549837490174
A055AF4978,,0.008418465928967866,0.3868549837490174
A016C7D9D6,,0.008418465928967866,0.3868549837490174
A007FCF963,,0.008418465928967866,0.3868549837490174
A004147F29,,0.010553143420833975,0.38749452770278425
99990450F8,,0.008516183141346705,0.3868842510755315
A006C9B096,,0.019053021279632,0.3900448983432903
A004A85FA5,,0.008418465928967866,0.3868549837490174
991729069A,,0.008418465928967866,0.3868549837490174
999509447F,,0.009656825644128992,0.38722594580537995
A003FA88B3,,0.017084452029913304,0.3894536924107344
A003AABAE2,,0.008418465928967866,0.3868549837490174
A0053FBE58,,0.008418465928967866,0.3868549837490174
9978450D6C,,0.019584635119789084,0.39020460952045916
A00435F97D,,0.008418465928967866,0.3868549837490174
A0013A1395,,0.009290159967076187,0.3871160940716797
9968095C35,,0.010794774959761678,0.3875669443799707
A00C39FF4E,,0.008418465928967866,0.3868549837490174
A000D4434A,,0.008418465928967866,0.3868549837490174
A0017D5B84,,0.047573394954737364,0.39864568521327387
A004B0DFE0,,0.008418465928967866,0.3868549837490174
994717192E,,0.012775609311696324,0.38816078507248236
A0112BFB17,,0.01947031968633729,0.3901702640840725
A013E17FCB,,0.010844044098488569,0.3875817108906121
A00BD202F8,,0.008418465928967866,0.3868549837490174
A01513CC3B,,0.008418465928967866,0.3868549837490174
99958070E3,,0.016540993913096408,0.38929053677644876
99987372CC,0.0,0.1166766037956952,0.4197363477224845
A0166C1E66,,0.06854010172809841,0.40500900446280463
A00C4E5C55,,0.008418465928967866,0.3868549837490174
A0095373A2,,0.02455493953620113,0.39169895831837176
A0080C6539,0.0,0.05661758556995767,0.40138650179712915
A00F5F3787,,0.008418465928967866,0.3868549837490174
9916216051,,0.06118084584903977,0.4027717406658413
A00AB4BBCD,,0.009408548431376318,0.387151561580183
A0106BE32E,,0.010236621695878231,0.3873996740500723
A00D88A268,,0.01049679534858546,0.3874776409690586
A01507CDC9,,0.010673242108017187,0.38753052051147335
A00F93CD89,,0.008418465928967866,0.3868549837490174
A00DC434D8,,0.008418465928967866,0.3868549837490174
A007C1ED8B,,0.008418465928967866,0.3868549837490174
A00EA9BB11,,0.008418465928967866,0.3868549837490174
9989128931,,0.017584982920440237,0.38960398244096933
A008C726FF,,0.008418465928967866,0.3868549837490174
A00A2F391F,0.0,0.04010836401862217,0.3963881958630199
A00956E106,0.0,0.06442744660849649,0.4037582365479719
A00EF06069,,0.008418465928967866,0.3868549837490174
A01825C648,,0.026954538413660738,0.3924211398064158
A00E4AF807,,0.010006429774094792,0.3873306966439206
A014D9DF3E,,0.008418465928967866,0.3868549837490174
A00C5AAEE6,,0.01000304542042982,0.38732968255020334
A017B2C7DD,,0.008418465928967866,0.3868549837490174
A00BBA27BA,,0.014167433928358914,0.38857824352561654
A0071E5DED,,0.010339768354776306,0.3874305835892488
A00F6A38C4,,0.008418465928967866,0.3868549837490174
A00AF02C97,,0.008418465928967866,0.3868549837490174
A05D56B922,,0.008418465928967866,0.3868549837490174
A0226ED43C,,0.008832320334002832,0.3869789430652951
A00C0E929D,,0.01674189172013571,0.38935084692652233
A00A7B23C7,,0.008916250729796713,0.3870040840174539
98842683FD,,0.04537700226290438,0.3979810250127657
A0170EF4F3,,0.010354130835574819,0.38743488760726785
A02A0EE286,,0.008418465928967866,0.3868549837490174
A00D3D5003,,0.008418465928967866,0.3868549837490174
A00A115EA8,,0.010354130835574819,0.38743488760726785
A00CBFF899,,0.008418465928967866,0.3868549837490174
A009D2F717,,0.017866941388157587,0.3896886528793177
A013B9A224,,0.008418465928967866,0.3868549837490174
A0171A0703,,0.008418465928967866,0.3868549837490174
A00B3AA445,,0.013917127696642297,0.3885031555741286
A00CD20717,,0.008418465928967866,0.3868549837490174
A0160CB31E,,0.012818063319870992,0.38817351613913065
A0088F5612,,0.008418465928967866,0.3868549837490174
991804232D,0.0,0.09064181875263527,0.41175149233338887
A011F2FE9B,,0.015140426618508148,0.3888701763099234
9938646E1F,,0.00970722761193795,0.3872410469528734
A00E0F766A,,0.02283786231061809,0.39118247869476164
9929650E63,0.0,0.06268631783753086,0.40322908856413825
A032A7C608,,0.008896141169275127,0.3869980602390799
A00EF7A023,,0.008418465928967866,0.3868549837490174
A01CC47609,,0.0185636822127866,0.3898979084876604
A01C6450D8,,0.010413933050495806,0.3874528087817048
A009F8870D,,0.03284657367949741,0.39419639436721704
A012FB0D30,,0.008418465928967866,0.3868549837490174
A017419163,,0.008418465928967866,0.3868549837490174
A0218DEA3D,,0.010918074808875317,0.3876038991089118
A003A8AFA5,,0.0104477322395523,0.3874629376577196
A00E5FEC79,,0.030989850701398678,0.39363666483331256
A00AE4D73B,,0.01007476309341846,0.38735117236946737
A00D744561,,0.012660533389083291,0.3881262769845434
A009C6720D,,0.02547255695919097,0.39197506797889914
A0112F57A8,,0.010725758543819137,0.38754625973735934
A00C0B2539,,0.008418465928967866,0.3868549837490174
A0137F6108,,0.01702273108116339,0.38943516145542695
A00E4A2D4B,,0.008418465928967866,0.3868549837490174
A003705820,,0.020227109341125357,0.3903976575719224
A00E1BD9CE,,0.010844044098488569,0.3875817108906121
A013F49C51,,0.043187298441658174,0.3973187632467221
995798445B,0.0,0.1492571395500292,0.42978781905772534
A00B0F25E9,,0.01957611421915263,0.3902020494256863
A00B10DC2F,,0.008418465928967866,0.3868549837490174
A00770BD93,0.0,0.0954243543218885,0.4132149458460008
A00EB095D9,,0.008418465928967866,0.3868549837490174
A012DC2589,,0.020647079894091504,0.3905238671819846
A00297DD89,,0.008418465928967866,0.3868549837490174
A00C4BEC26,,0.008418465928967866,0.3868549837490174
A011FBF573,,0.009356814854781646,0.3871360627855296
A01201F4AC,,0.008539876979353581,0.38689134775074935
A00EDED883,,0.008418465928967866,0.3868549837490174
A00D0D563B,,0.008418465928967866,0.3868549837490174
A024650AEB,,0.009290159967076187,0.3871160940716797
A01D23C083,,0.008418465928967866,0.3868549837490174
A000DD2877,,0.010740932166974106,0.38755080733039793
A00BF8D36F,,0.008418465928967866,0.3868549837490174
A00AF1C20F,,0.02263679113821234,0.391122014417129
A015B8BE00,,0.01817736287413351,0.38978187828316463
A015D72FE2,,0.01557582250466149,0.38900083655912293
A00907AAA0,0.0,0.022325668693979443,0.39102846311938116
A00C2B2BBB,,0.008418465928967866,0.3868549837490174
A00A736D70,,0.008901585127641165,0.38699969096243747
A00F57E6FA,,0.008418465928967866,0.3868549837490174
A00B0DD495,,0.008418465928967866,0.3868549837490174
A018266E86,,0.027628302062099215,0.3926240000166694
A00695E478,,0.01909397597064372,0.3900572014025345
A008F21DEB,,0.029460110186267666,0.39317571738333096
A00DCC60F4,,0.008418465928967866,0.3868549837490174
A00AB25C71,,0.008418465928967866,0.3868549837490174
A00DD6EB94,,0.008418465928967866,0.3868549837490174
A01E3C481E,,0.008418465928967866,0.3868549837490174
A01432B09B,,0.008418465928967866,0.3868549837490174
A014BEC9ED,0.0,0.10709327883312927,0.4167920224474669
A00F1FE394,,0.008418465928967866,0.3868549837490174
A00C23EC01,,0.008418465928967866,0.3868549837490174
A0106972FF,,0.014806099053127108,0.3887698570214833
A0103F7870,0.0,0.023085658226314962,0.3912569982040565
A025F7179A,,0.008418465928967866,0.3868549837490174
A00BC7FE18,,0.012500722849877766,0.3880783560826825
A00D20C6E0,,0.009857746013290376,0.387286145699941
A016ECC18E,,0.008418465928967866,0.3868549837490174
A0143B30D6,,0.00843023849246012,0.3868585097115481
A008D75CB9,,0.008418465928967866,0.3868549837490174
A009BE1378,,0.02223270070538513,0.39100051016172716
A0248DA353,,0.008418465928967866,0.3868549837490174
A01BAA8B6F,,0.008418465928967866,0.3868549837490174
A018090AAC,,0.008418465928967866,0.3868549837490174
A020B9647A,,0.0199389791172052,0.3903110771201971
A00FC41B70,,0.008418465928967866,0.3868549837490174
A01DB07218,,0.008418465928967866,0.3868549837490174
A01F8A4222,,0.008418465928967866,0.3868549837490174
A020026437,,0.040392205996573075,0.39647395209830877
A02D7DD7AC,,0.008418465928967866,0.3868549837490174
991466720A,,0.01563416396814158,0.3890183457687932
A01F5ED499,,0.013030165542253213,0.3882371234330298
A01EA304CB,,0.008418465928967866,0.3868549837490174
A01F22FE05,,0.008418465928967866,0.3868549837490174
A01C1277CA,0.0,0.07463564267649453,0.406865087236113
A018A81EDE,,0.014212722166833168,0.38859182985337337
A01CFFD600,,0.008418465928967866,0.3868549837490174
A012F4226D,0.0,0.04601365167590891,0.39817364573495706
A0217D92DD,0.0,0.12243017507271632,0.4215068046713912
A00511D0A5,,0.0725080713846138,0.4062169400380395
A01EEC08A7,1.0,0.022833628116978772,0.39118120539246637
A04C49E9D1,,0.008896141169275127,0.3869980602390799
A01BBE72B1,,0.008418465928967866,0.3868549837490174
