cig,label,score_raw_final,score_calib_final,rank_pct_global,rank_pct_within_U
8191146B81,,0.0249371045174222,0.356453227496162,82.6,85.57
6846507C4C,,0.0072764028702185,0.3435039298165525,36.28,37.73
6842285035,,0.0072257097435849,0.3434670823036559,17.56,18.27
680620520C,,0.0241431538719519,0.3558663833314767,82.2,85.17
681842022F,,0.0074273194836049,0.3436136383257197,38.82,40.38
68025612EC,1.0,0.5642858833967113,0.759093088122528,99.71,
6844611FAA,,0.0072257097435849,0.3434670823036559,17.56,18.27
6836971EF0,,0.0103826598288049,0.3457653694110106,56.87,59.13
6828533BAF,,0.0090719988065004,0.3448103147338611,48.76,50.7
6830162BFA,,0.0330464723365839,0.3624716662014627,86.43,89.38
68194926D2,,0.0103824963739643,0.3457652502266857,56.72,58.97
6844998F07,,0.0072257097435849,0.3434670823036559,17.56,18.27
68321715DD,,0.0093138019476415,0.3449864182867828,51.46,53.51
6882507871,,0.0072257097435849,0.3434670823036559,17.56,18.27
6839706FEE,,0.0113898082259992,0.346500106531328,60.35,62.73
6854250209,,0.0072257097435849,0.3434670823036559,17.56,18.27
6876330F03,,0.0072257097435849,0.3434670823036559,17.56,18.27
6879156B1B,,0.0096577307122175,0.3452369725312435,53.3,55.42
6848004FA8,,0.0866556966781947,0.4032716559246165,95.96,97.98
6869855FAC,,0.0072257097435849,0.3434670823036559,17.56,18.27
68541553A3,,0.0161069403981048,0.3499510649610194,71.57,74.36
7002032399,,0.0359454115310217,0.3646337590278505,87.57,90.48
6897018F4A,,0.0072257097435849,0.3434670823036559,17.56,18.27
6951442F65,,0.0091132309981481,0.3448403408420042,50.19,52.2
6853859F5B,,0.0109590375182887,0.346185759907809,58.9,61.22
6853655705,,0.0072764028702185,0.3435039298165525,36.28,37.73
68806625E7,,0.0072257097435849,0.3434670823036559,17.56,18.27
8892378E74,,0.0149357487022755,0.3490927607033407,68.94,71.63
6853275D6D,,0.0131794094960743,0.3478074661211259,64.91,67.46
68238589C1,1.0,0.03558905296771,0.3643676822298772,87.33,
7442920BE0,,0.0122265697874874,0.3471110999898947,62.52,64.98
6881718D55,,0.0102116006967084,0.3456406509591979,55.59,57.8
6879294CFC,,0.0843426481741872,0.4014787794459248,95.74,97.78
6927070EFC,,0.0072257097435849,0.3434670823036559,17.56,18.27
6859286DDC,,0.0115409605292855,0.3466104387883536,60.74,63.13
68367329B7,1.0,0.387523351517669,0.6405950465410415,99.45,
6858665D65,,0.0072257097435849,0.3434670823036559,17.56,18.27
6878181684,,0.0072764028702185,0.3435039298165525,36.28,37.73
6877567BD2,,0.0073850526641596,0.3435829108684273,38.06,39.59
686016533F,,0.0085049322547989,0.3443974912429182,46.29,48.14
6808740DFB,,0.0128219067314988,0.3475461150483752,63.92,66.44
6875649D09,,0.0072257097435849,0.3434670823036559,17.56,18.27
6916888C89,,0.0072257097435849,0.3434670823036559,17.56,18.27
68702559C5,,0.0072257097435849,0.3434670823036559,17.56,18.27
6874267894,,0.0082814465682868,0.3442348585064532,45.25,47.05
68639430F4,,0.0074599797305931,0.3436373828199435,39.83,41.42
7622920894,,0.0072257097435849,0.3434670823036559,17.56,18.27
68623026C0,,0.0103491979793691,0.3457409708560535,56.48,58.72
6862000D86,,0.0145978969849739,0.3488453485475906,68.31,70.98
67664635E8,,0.0074273194836049,0.3436136383257197,38.82,40.38
68606313CD,,0.0134399380345593,0.3479979823065708,65.36,67.93
6787924416,,0.0114368397508262,0.3465344349995805,60.52,62.91
6885287E90,,0.0076479364327907,0.3437740453808241,42.02,43.69
6858535221,,0.015236212816502,0.349312861880619,69.62,72.34
6861648B0C,,0.0072269424141102,0.3434679782773843,35.3,36.72
