cig,score_mean,score_lower,score_upper,pc_mean,pc_lower,pc_upper,lift_vs_prior,percentile_rank
1971222FD6,0.351125,0.34208,0.391818,0.014511,0.013951,0.017228,0.7255,65.33
A02E707B32,0.351124,0.342159,0.391414,0.014511,0.013956,0.0172,0.7255,65.3
5142139357,0.351123,0.34225,0.411295,0.014511,0.013961,0.018656,0.7255,65.27
94751071A7,0.351119,0.342226,0.391414,0.014511,0.01396,0.0172,0.7255,65.23
8157280069,0.351117,0.342271,0.391414,0.01451,0.013962,0.0172,0.7255,65.2
7605242C3A,0.351106,0.342651,0.412029,0.01451,0.013986,0.018712,0.7255,65.17
B17E80F046,0.351105,0.341702,0.391414,0.01451,0.013928,0.0172,0.7255,65.13
922519039E,0.351092,0.342448,0.391414,0.014509,0.013973,0.0172,0.7254,65.1
8300706748,0.351091,0.342448,0.391414,0.014509,0.013973,0.0172,0.7254,65.07
9020958A08,0.351077,0.342022,0.391414,0.014508,0.013947,0.0172,0.7254,65.02
B13BA3842B,0.351077,0.341029,0.407174,0.014508,0.013887,0.018347,0.7254,65.02
A01954D7CD,0.351068,0.341822,0.41492,0.014507,0.013935,0.018932,0.7254,64.97
8409311EF4,0.351057,0.342405,0.396294,0.014507,0.013971,0.017549,0.7254,64.93
9279130450,0.351049,0.342266,0.397841,0.014506,0.013962,0.01766,0.7253,64.88
597788960E,0.351049,0.342039,0.391414,0.014506,0.013948,0.0172,0.7253,64.88
41297487DA,0.351046,0.342309,0.391414,0.014506,0.013965,0.0172,0.7253,64.83
7335817BAF,0.351044,0.342592,0.416482,0.014506,0.013982,0.019052,0.7253,64.8
0411968EBB,0.35103,0.34205,0.412065,0.014505,0.013949,0.018714,0.7253,64.75
9652505B1A,0.35103,0.342237,0.391414,0.014505,0.01396,0.0172,0.7253,64.75
9401273FE4,0.351025,0.342465,0.391414,0.014505,0.013974,0.0172,0.7253,64.7
A005F9E8B3,0.351012,0.342226,0.391414,0.014504,0.01396,0.0172,0.7252,64.65
8047380C0C,0.351012,0.341956,0.391457,0.014504,0.013943,0.017203,0.7252,64.65
B11297BF04,0.351008,0.34189,0.410444,0.014504,0.013939,0.018592,0.7252,64.6
5279357736,0.350998,0.342502,0.391414,0.014503,0.013977,0.0172,0.7252,64.57
7237994599,0.350992,0.342196,0.391414,0.014503,0.013958,0.0172,0.7252,64.53
8966024511,0.350966,0.342403,0.391414,0.014501,0.01397,0.0172,0.725,64.5
9567863253,0.350955,0.341386,0.391913,0.0145,0.013908,0.017235,0.725,64.47
8678816188,0.350943,0.342196,0.391414,0.0145,0.013958,0.0172,0.725,64.43
7031450818,0.35094,0.342227,0.391414,0.014499,0.01396,0.0172,0.725,64.4
A0094CECF9,0.350938,0.342201,0.391414,0.014499,0.013958,0.0172,0.725,64.37
8635034F77,0.350918,0.342028,0.391414,0.014498,0.013948,0.0172,0.7249,64.33
6007978449,0.350916,0.341676,0.397308,0.014498,0.013926,0.017622,0.7249,64.27
89869612D4,0.350916,0.342196,0.391414,0.014498,0.013958,0.0172,0.7249,64.27
9472094B3C,0.350916,0.342088,0.391414,0.014498,0.013951,0.0172,0.7249,64.27
3662134892,0.350896,0.343052,0.399497,0.014497,0.01401,0.017781,0.7248,64.2
9812224765,0.35089,0.342227,0.391414,0.014496,0.01396,0.0172,0.7248,64.17
9597105595,0.350881,0.342376,0.412065,0.014496,0.013969,0.018714,0.7248,64.12
B320B7F331,0.350881,0.341418,0.393912,0.014496,0.01391,0.017378,0.7248,64.12
7369166C26,0.35088,0.342137,0.412029,0.014496,0.013954,0.018712,0.7248,64.07
7475645967,0.350872,0.342143,0.391414,0.014495,0.013955,0.0172,0.7247,64.03
B423212895,0.35087,0.34185,0.411198,0.014495,0.013937,0.018649,0.7247,64.0
894033777B,0.350868,0.342199,0.411295,0.014495,0.013958,0.018656,0.7247,63.97
82002872E8,0.350859,0.342045,0.412029,0.014494,0.013949,0.018712,0.7247,63.93
0922265526,0.350855,0.342271,0.391414,0.014494,0.013962,0.0172,0.7247,63.9
6654636B57,0.350848,0.342648,0.393325,0.014494,0.013985,0.017336,0.7247,63.87
9834775911,0.350844,0.342491,0.396465,0.014493,0.013976,0.017561,0.7246,63.83
A04083E61E,0.350841,0.342202,0.391414,0.014493,0.013958,0.0172,0.7246,63.8
8758862992,0.350832,0.342064,0.391414,0.014493,0.01395,0.0172,0.7246,63.77
A058C7EAFC,0.350812,0.34209,0.391414,0.014491,0.013951,0.0172,0.7246,63.73
9680213C77,0.350796,0.342225,0.391414,0.01449,0.01396,0.0172,0.7245,63.7
9587214346,0.350777,0.342213,0.412029,0.014489,0.013959,0.018712,0.7244,63.67
B1B03C32D4,0.350772,0.340544,0.407174,0.014489,0.013857,0.018347,0.7244,63.63
804203620D,0.350771,0.341875,0.391414,0.014489,0.013938,0.0172,0.7244,63.6
A053BEEF84,0.350762,0.341952,0.412065,0.014488,0.013943,0.018714,0.7244,63.52
8549293BC2,0.350762,0.342064,0.391414,0.014488,0.01395,0.0172,0.7244,63.52
7219776B9F,0.350762,0.341769,0.39145,0.014488,0.013932,0.017202,0.7244,63.52
98442579DC,0.350762,0.342127,0.391414,0.014488,0.013954,0.0172,0.7244,63.52
7218227D58,0.350758,0.342226,0.391414,0.014488,0.01396,0.0172,0.7244,63.43
A01CAF4E46,0.350757,0.342224,0.393746,0.014488,0.013959,0.017366,0.7244,63.4
94153944EC,0.350755,0.34221,0.409701,0.014488,0.013959,0.018536,0.7244,63.37
B16F9BF6DF,0.350741,0.342177,0.391414,0.014487,0.013957,0.0172,0.7243,63.33
99050956F8,0.350736,0.342224,0.391414,0.014487,0.013959,0.0172,0.7243,63.3
58808918C5,0.350728,0.34268,0.391414,0.014486,0.013987,0.0172,0.7243,63.27
98158610C0,0.350722,0.342227,0.411295,0.014486,0.01396,0.018656,0.7243,63.23
5350665470,0.350719,0.342024,0.391414,0.014485,0.013947,0.0172,0.7242,63.2
6533630A08,0.350718,0.342341,0.391414,0.014485,0.013967,0.0172,0.7242,63.17
92551420CB,0.350713,0.342234,0.391414,0.014485,0.01396,0.0172,0.7242,63.13
80825234FA,0.35071,0.342048,0.412065,0.014485,0.013949,0.018714,0.7242,63.1
7611586F75,0.350703,0.342064,0.391414,0.014484,0.01395,0.0172,0.7242,63.07
743024829F,0.350699,0.341669,0.391414,0.014484,0.013926,0.0172,0.7242,63.03
7212564C17,0.350687,0.342115,0.391414,0.014483,0.013953,0.0172,0.7242,63.0
872702158D,0.350683,0.341956,0.391414,0.014483,0.013943,0.0172,0.7242,62.97
84347808A5,0.350681,0.342225,0.3923,0.014483,0.01396,0.017263,0.7242,62.93
8664730963,0.35068,0.342039,0.391414,0.014483,0.013948,0.0172,0.7242,62.9
9520390A5B,0.350679,0.342226,0.402275,0.014483,0.01396,0.017984,0.7242,62.87
8052356661,0.350666,0.342083,0.391414,0.014482,0.013951,0.0172,0.7241,62.82
9405086A7C,0.350666,0.342055,0.391414,0.014482,0.013949,0.0172,0.7241,62.82
18012549D0,0.350648,0.341543,0.413439,0.014481,0.013918,0.018819,0.724,62.77
05371305B1,0.350634,0.342186,0.391432,0.01448,0.013957,0.017201,0.724,62.73
7549649770,0.350607,0.342156,0.391414,0.014478,0.013955,0.0172,0.7239,62.7
A059D204CE,0.350586,0.341955,0.391414,0.014477,0.013943,0.0172,0.7238,62.67
9988900D09,0.350574,0.341956,0.391414,0.014476,0.013943,0.0172,0.7238,62.63
3011445307,0.350568,0.341898,0.411271,0.014476,0.01394,0.018654,0.7238,62.6
9644170CD7,0.350545,0.341204,0.400097,0.014475,0.013897,0.017824,0.7238,62.57
7020639E91,0.350534,0.34175,0.391818,0.014474,0.013931,0.017228,0.7237,62.53
9896573E62,0.350533,0.342039,0.391414,0.014474,0.013948,0.0172,0.7237,62.5
975636249E,0.350527,0.341955,0.391414,0.014473,0.013943,0.0172,0.7236,62.45
8535275BBD,0.350527,0.342185,0.391414,0.014473,0.013957,0.0172,0.7236,62.45
8453705A0C,0.350523,0.342024,0.391414,0.014473,0.013947,0.0172,0.7236,62.38
9311812E57,0.350523,0.34209,0.40999,0.014473,0.013951,0.018558,0.7236,62.38
6299234457,0.350522,0.342052,0.391414,0.014473,0.013949,0.0172,0.7236,62.33
831794160E,0.350517,0.341943,0.391414,0.014473,0.013942,0.0172,0.7236,62.3
